57101	Euro Stumbles As ECB Hints At More Easing	http://www.benzinga.com/news/14/03/4423242/euro-stumbles-as-ecb-hints-at-more-easing	Benzinga	b	d_yCfTJxDUFGs_MQrL1DnBRuBd_eM	www.benzinga.com	1396014020063
57102	Forex - Euro near 3-week lows against dollar	http://www.nasdaq.com/article/forex-euro-near-3-week-lows-against-dollar-cm339459	NASDAQ	b	d_yCfTJxDUFGs_MQrL1DnBRuBd_eM	www.nasdaq.com	1396014020248
57103	Only 2 of 72 polled see April ECB rate cut; lukewarm praise for bank reform  ...	http://www.reuters.com/article/2014/03/27/ecb-rates-poll-idUSL5N0MO40K20140327	Reuters	b	d_yCfTJxDUFGs_MQrL1DnBRuBd_eM	www.reuters.com	1396014020436
57104	European stocks remain lower in cautious trade; Dax down 0.26%	http://www.nasdaq.com/article/european-stocks-remain-lower-in-cautious-trade-dax-down-026-cm339310	NASDAQ	b	d_yCfTJxDUFGs_MQrL1DnBRuBd_eM	www.nasdaq.com	1396014020637
57105	EUR/USD Fundamental Analysis March 28, 2014 Forecast	http://www.fxempire.com/fundamental/fundamental-analysis-reports/eurusd-fundamental-analysis-march-28-2014-forecast/	FX Empire	b	d_yCfTJxDUFGs_MQrL1DnBRuBd_eM	www.fxempire.com	1396014021131
57106	Italian Bonds Advance With European Peers on ECB Stimulus Bets	http://www.businessweek.com/news/2014-03-27/italian-bonds-rise-with-european-counterparts-on-stimulus-bets	Businessweek	b	d_yCfTJxDUFGs_MQrL1DnBRuBd_eM	www.businessweek.com	1396014021341
57107	European stocks decline amid fresh tensions with Russia; Dax down 0.36%	http://www.moneycontrol.com/news/international-markets/european-stocks-decline-amid-fresh-tensionsrussia-dax-down-036_1059359.html	Moneycontrol.com	b	d_yCfTJxDUFGs_MQrL1DnBRuBd_eM	www.moneycontrol.com	1396014022039
57108	Market chatter: bonds await ECB's move	http://www.thecorner.eu/financial-markets/market-chatter-bonds-await-ecbs-move/36323/	The Corner Economic	b	d_yCfTJxDUFGs_MQrL1DnBRuBd_eM	www.thecorner.eu	1396014022268
57109	Eurozone bank lending dips again	http://www.theaustralian.com.au/business/latest/eurozone-bank-lending-dips-again/story-e6frg90f-1226866928138	The Australian	b	d_yCfTJxDUFGs_MQrL1DnBRuBd_eM	www.theaustralian.com.au	1396014022462
57110	Spanish, Italian, Portuguese yields hit historical lows on ECB bets	http://in.reuters.com/article/2014/03/27/markets-bonds-euro-idINL5N0MO1UR20140327	Reuters	b	d_yCfTJxDUFGs_MQrL1DnBRuBd_eM	in.reuters.com	1396014022713
57111	UPDATE 1-Euro zone private sector loans contract further in Feb -ECB	http://in.reuters.com/article/2014/03/27/eurozone-m-idINL5N0MO24420140327	Reuters	b	d_yCfTJxDUFGs_MQrL1DnBRuBd_eM	in.reuters.com	1396014023049
