144701	Debate over study that says corn biofuels worse than gasoline in the short-term	http://blueandgreentomorrow.com/2014/04/21/debate-over-study-that-says-corn-biofuels-worse-than-gasoline-in-the-short-term/	Blue \& Green Tomorrow	b	dOSUWxCfGI30r2MYJpqq0kAt7n0CM	blueandgreentomorrow.com	1398106072119
144702	Study: Corn Waste Fuels No Better Than Gas	http://www.theledger.com/article/20140420/NEWS/140429956/1410\?Title=Study-Corn-Waste-Fuels-No-Better-Than-Gas	The Ledger	b	dOSUWxCfGI30r2MYJpqq0kAt7n0CM	www.theledger.com	1398106072302
144703	UNL study: Fuels from corn waste not better than gas	http://columbustelegram.com/news/state-and-regional/unl-study-fuels-from-corn-waste-not-better-than-gas/article_01c5defc-c284-588b-8b2c-045f09359127.html\?comment_form=true	Columbus Telegram	b	dOSUWxCfGI30r2MYJpqq0kAt7n0CM	columbustelegram.com	1398106072554
144704	Study: Corn fuels no better than gas	http://www.journalgazette.net/article/20140421/NEWS03/304219956/1066/NEWS03	Fort Wayne Journal Gazette	b	dOSUWxCfGI30r2MYJpqq0kAt7n0CM	www.journalgazette.net	1398106072866
144705	Study: Fuel from corn waste not better than gas	http://www.denverpost.com/nationworld/ci_25605314/study-fuel-from-corn-waste-not-better-than	The Denver Post	b	dOSUWxCfGI30r2MYJpqq0kAt7n0CM	www.denverpost.com	1398106073097
144706	Study puts a damper on fuels from corn waste	http://www.philly.com/philly/news/nation_world/20140421_Study_puts_a_damper_on_fuels_from_corn_waste.html	Philly.com	b	dOSUWxCfGI30r2MYJpqq0kAt7n0CM	www.philly.com	1398106073344
144707	Corn-Based Biofuels Found Worse Than Traditional Oil on Environment	http://www.latinpost.com/articles/10842/20140421/corn-based-biofuels-found-worse-than-traditional-oil-on-environment.htm	Latin Post	b	dOSUWxCfGI30r2MYJpqq0kAt7n0CM	www.latinpost.com	1398106073587
144708	A blow to corn-based biofuels	http://www.latimes.com/nation/la-na-biofuels-study-20140421,0,6597246.story	Los Angeles Times	b	dOSUWxCfGI30r2MYJpqq0kAt7n0CM	www.latimes.com	1398106073896
144709	Study questions short-term merits of biofuels over gasoline	http://www.messenger-inquirer.com/news/national/article_573e0889-68b0-5f47-8dde-c3ec6227d11b.html	messenger-inquirer	b	dOSUWxCfGI30r2MYJpqq0kAt7n0CM	www.messenger-inquirer.com	1398106074103
144710	Study: Fuels from corn waste no better than gas	http://www.thedailytimes.com/business/study-fuels-from-corn-waste-no-better-than-gas/article_cecf7612-5b5c-59c3-babf-9f5c4ff488ec.html	Maryville Daily Times	b	dOSUWxCfGI30r2MYJpqq0kAt7n0CM	www.thedailytimes.com	1398106075028
144711	Study challenges benefit of corn waste as clean fuel	http://www.nwherald.com/2014/04/21/study-challenges-benefit-of-corn-waste-as-clean-fuel/akexv4y/	Northwest Herald	b	dOSUWxCfGI30r2MYJpqq0kAt7n0CM	www.nwherald.com	1398106075248
