80501	Poll Result Could Cause Market 'Turmoil': RBI Governor	http://www.indiawest.com/news/17972-poll-result-could-cause-market-turmoil--rbi-governor.html	India West	b	d80TjEemAhW18OMzRFagYuDvsaiVM	www.indiawest.com	1396430680201
80502	'Nimble footed monetary policy'	http://www.business-standard.com/article/markets/nimble-footed-monetary-policy-114040100625_1.html	Business Standard	b	d80TjEemAhW18OMzRFagYuDvsaiVM	www.business-standard.com	1396430680408
80503	RBI leaves policy rates unchanged in first bi-monthly review	http://www.assamtribune.com/scripts/detailsnew.asp\?id=apr0114/at054	Assam Tribune	b	d80TjEemAhW18OMzRFagYuDvsaiVM	www.assamtribune.com	1396430680669
80504	Reserve Bank of India allows foreign investors to hedge currency risks	http://economictimes.indiatimes.com/news/economy/finance/reserve-bank-of-india-allows-foreign-investors-to-hedge-currency-risks/articleshow/33076147.cms	Economic Times	b	d80TjEemAhW18OMzRFagYuDvsaiVM	economictimes.indiatimes.com	1396430680866
80505	RBI keeps repo rate unchanged	http://economictimes.indiatimes.com/news/economy/policy/rbi-keeps-repo-rate-unchanged-at-8-in-monetary-policy-review/articleshow/33062032.cms	Economic Times	b	d80TjEemAhW18OMzRFagYuDvsaiVM	economictimes.indiatimes.com	1396430681063
80506	RBI Leaves Rates Unchanged	http://www.indiaspend.com/latest-headlines/rbi-leaves-rates-unchanged-62641	India Spend	b	d80TjEemAhW18OMzRFagYuDvsaiVM	www.indiaspend.com	1396430681399
80507	No change in EMIs likely as RBI keeps interest rates on hold	http://zeenews.india.com/business/news/finance/rbi-offers-no-respite-to-borrowers-keeps-rates-unchanged_97140.html	Zee News	b	d80TjEemAhW18OMzRFagYuDvsaiVM	zeenews.india.com	1396430681583
80508	How Raghuram Rajan could have spoilt pre-election rally on D-Street	http://economictimes.indiatimes.com/markets/analysis/how-raghuram-rajan-could-have-spoilt-pre-election-rally-on-d-street/articleshow/33074936.cms	Economic Times	b	d80TjEemAhW18OMzRFagYuDvsaiVM	economictimes.indiatimes.com	1396430681774
80509	India c.bank bars foreign investors from short-term local debt	http://in.reuters.com/article/2014/04/01/india-economy-cenbank-markets-idINL4N0MT25J20140401	Reuters	b	d80TjEemAhW18OMzRFagYuDvsaiVM	in.reuters.com	1396430681986
80510	UPDATE 2-India c.bank leaves rates on hold; election, monsoon in focus	http://in.reuters.com/article/2014/04/01/india-economy-cenbank-idINL4N0MT0LV20140401	Reuters	b	d80TjEemAhW18OMzRFagYuDvsaiVM	in.reuters.com	1396430682214
80511	Governor Raghuram Rajan's RBI monetary policy review statement	http://www.financialexpress.com/news/governor-raghuram-rajans-rbi-monetary-policy-review-statement/1237321	Financial Express	b	d80TjEemAhW18OMzRFagYuDvsaiVM	www.financialexpress.com	1396430682748
80512	Raghuram Rajan warns of turmoil in stock market if Lok Sabha elections deliver  ...	http://www.financialexpress.com/news/academicianturnedcentral-banker-raghuram-rajan-warns-of-turmoil-in-markets-if-polls-deliver-unstable-govt/1237377	Financial Express	b	d80TjEemAhW18OMzRFagYuDvsaiVM	www.financialexpress.com	1396430682941
80513	Banks should not levy penal charges for non-maintenance of minimum balances  ...	http://www.myiris.com/newsCentre/storyShow.php\?fileR=20140401142716717&amp;dir=2014/04/01	Myiris.com	b	d80TjEemAhW18OMzRFagYuDvsaiVM	www.myiris.com	1396430683134
80514	Granting of new bank licences not a political process, says Raghuram Rajan	http://businesstoday.intoday.in/story/granting-of-new-bank-licences-not-a-political-process-says-raghuram-rajan/1/204782.html	Business Today	b	d80TjEemAhW18OMzRFagYuDvsaiVM	businesstoday.intoday.in	1396430683311
80515	Raghuram Rajan's RBI allows overseas investors to hedge currency risks	http://www.financialexpress.com/news/raghuram-rajans-rbi-allows-overseas-investors-to-hedge-currency-risks/1237367	Financial Express	b	d80TjEemAhW18OMzRFagYuDvsaiVM	www.financialexpress.com	1396430683503
