80301	What you need to know before the US open	http://www.cityam.com/blog/1396270809/what-you-need-know-us-open	CITY A.M. \(blog\)	b	dX8YvMGOFW4FIcMxQOAxjMru4LN7M	www.cityam.com	1396429623543
80302	RBI gets EC approval to grant new bank licences	http://post.jagran.com/rbi-gets-ec-approval-to-grant-new-bank-licences-1396428112	Jagran Post	b	d80TjEemAhW18OMzRFagYuDvsaiVM	post.jagran.com	1396430630537
80303	RBI to give new bank licences within the next 10-15 days after Election  ...	http://economictimes.indiatimes.com/industry/banking/finance/banking/rbi-to-give-new-bank-licences-within-the-next-10-15-days-after-election-commissions-nod/articleshow/33093519.cms	Economic Times	b	d80TjEemAhW18OMzRFagYuDvsaiVM	economictimes.indiatimes.com	1396430630759
80304	RBI gets poll commission's yes for new bank licences	http://www.financialexpress.com/news/rbi-gets-poll-commissions-yes-for-new-bank-licences/1237540	Financial Express	b	d80TjEemAhW18OMzRFagYuDvsaiVM	www.financialexpress.com	1396430630994
80305	Not worried about rupee overvaluation right now: Rajan	http://www.moneycontrol.com/news/economy/not-worried-about-rupee-overvaluation-right-now-rbi39s-rajan_1062589.html	Moneycontrol.com	b	d80TjEemAhW18OMzRFagYuDvsaiVM	www.moneycontrol.com	1396430631286
80306	RBI will cut rate if environment provides window: Rajan	http://www.moneycontrol.com/news/economy/rbi-will-cut-rate-if-environment-provides-window-rajan_1062589.html	Moneycontrol.com	b	d80TjEemAhW18OMzRFagYuDvsaiVM	www.moneycontrol.com	1396430631510
80307	Rajan says rupee gains to 45-50 per dollar would hit exports	http://www.deccanchronicle.com/140402/business-latest/article/rajan-says-rupee-gains-45-50dlr-would-hit-exports	Deccan Chronicle	b	d80TjEemAhW18OMzRFagYuDvsaiVM	www.deccanchronicle.com	1396430631754
80308	RBI Board Committee To Decide On Bank Licences	http://www.businessworld.in/news/economy/rbi-board-committee-to-decide-on-bank-licences/1314926/page-1.html	Businessworld	b	d80TjEemAhW18OMzRFagYuDvsaiVM	www.businessworld.in	1396430632009
80309	Rajan says RBI board committee to decide on bank licences	http://in.reuters.com/article/2014/04/02/india-rbi-banklicences-idINDEEA3104620140402	Reuters India	b	d80TjEemAhW18OMzRFagYuDvsaiVM	in.reuters.com	1396430632227
80310	India cbank chief says RBI board committee to decide on bank licences	http://in.reuters.com/article/2014/04/02/india-cenbank-banklicences-idINI8N0L301E20140402	Reuters	b	d80TjEemAhW18OMzRFagYuDvsaiVM	in.reuters.com	1396430632436
80311	India cbank chief says rupee gains to 45-50/dlr would hit exports	http://in.reuters.com/article/2014/04/02/india-cenbank-tv-idINI8N0L301D20140402	Reuters	b	d80TjEemAhW18OMzRFagYuDvsaiVM	in.reuters.com	1396430632746
80312	RBI chief says RBI board committee to decide on bank licences	http://www.business-standard.com/article/reuters/rbi-chief-says-rbi-board-committee-to-decide-on-bank-licences-114040200353_1.html	Business Standard	b	d80TjEemAhW18OMzRFagYuDvsaiVM	www.business-standard.com	1396430632939
80313	Rajan says rupee gains to 45-50/dlr would hit exports	http://www.business-standard.com/article/reuters/rajan-says-rupee-gains-to-45-50-dlr-would-hit-exports-114040200352_1.html	Business Standard	b	d80TjEemAhW18OMzRFagYuDvsaiVM	www.business-standard.com	1396430633125
80314	Raghuram Rajan says rupee gains to 45-50/dollar would hit exports	http://profit.ndtv.com/news/economy/article-raghuram-rajan-says-rupee-gains-to-45-50-dollar-would-hit-exports-384496	NDTV	b	d80TjEemAhW18OMzRFagYuDvsaiVM	profit.ndtv.com	1396430633310
80315	RBI board committee to decide on bank licences: Raghuram Rajan	http://economictimes.indiatimes.com/industry/banking/finance/banking/rbi-board-committee-to-decide-on-bank-licences-raghuram-rajan/articleshow/33118787.cms	Economic Times	b	d80TjEemAhW18OMzRFagYuDvsaiVM	economictimes.indiatimes.com	1396430633519
80316	Rupee gains to 45-50/dollar would hit exports: Rajan	http://zeenews.india.com/business/news/finance/rupee-gains-to-45-50-dollar-would-hit-exports-rajan_97213.html	Zee News	b	d80TjEemAhW18OMzRFagYuDvsaiVM	zeenews.india.com	1396430633737
80317	Everything you want to know about new bank licences	http://www.livemint.com/Opinion/POmXKHIIApNB6JliRj4w1H/Everything-you-want-to-know-about-new-bank-licences.html	Livemint	b	d80TjEemAhW18OMzRFagYuDvsaiVM	www.livemint.com	1396430633939
80318	Election Commission allows RBI to issue licences for setting up new banks	http://www.business-standard.com/article/news-cm/election-commission-allows-rbi-to-issue-licences-for-setting-up-new-banks-114040200306_1.html	Business Standard	b	d80TjEemAhW18OMzRFagYuDvsaiVM	www.business-standard.com	1396430634174
80319	RBI chief says rupee gains to 45-50 per dollar would hit exports	http://economictimes.indiatimes.com/news/economy/finance/rbi-chief-says-rupee-gains-to-45-50-per-dollar-would-hit-exports/articleshow/33117281.cms	Economic Times	b	d80TjEemAhW18OMzRFagYuDvsaiVM	economictimes.indiatimes.com	1396430634375
80320	Post EC nod analysts feel RBI will soon grant bank licences	http://www.moneycontrol.com/news/economy/post-ec-nod-analysts-feel-rbi-will-soon-grant-bank-licences_1062351.html	Moneycontrol.com	b	d80TjEemAhW18OMzRFagYuDvsaiVM	www.moneycontrol.com	1396430634577
80321	Not worried about rupee overvaluation right now: RBI Rajan	http://www.moneycontrol.com/news/economy/rbi-will-cut-rate-if-environment-provides-window-raghuram-rajan_1062589.html	Moneycontrol.com	b	d80TjEemAhW18OMzRFagYuDvsaiVM	www.moneycontrol.com	1396430634829
80322	RBI aims to provide sufficient liquidity to the markets, says Raghuram Rajan	http://economictimes.indiatimes.com/opinion/interviews/rbi-aims-to-provide-sufficient-liquidity-to-the-markets-says-raghuram-rajan/articleshow/33091067.cms	Economic Times	b	d80TjEemAhW18OMzRFagYuDvsaiVM	economictimes.indiatimes.com	1396430635139
80323	Raghuram Rajan-led RBI flags 12 macro challenges and opportunities	http://www.financialexpress.com/news/raghuram-rajanled-rbi-flags-12-macro-challenges-and-opportunities/1237576	Financial Express	b	d80TjEemAhW18OMzRFagYuDvsaiVM	www.financialexpress.com	1396430635340
80324	No penalty for below minimum balance: RBI	http://www.bhatkallys.com/news-regional/penalty-minimum-balance-rbi/	Bhatkallys	b	d80TjEemAhW18OMzRFagYuDvsaiVM	www.bhatkallys.com	1396430635541
80325	RBI Open To Merger Of Banks: Rajan	http://www.siliconindia.com/finance/news/RBI-Open-To-Merger-Of-Banks-Rajan-nid-163888.html	Siliconindia.com	b	d80TjEemAhW18OMzRFagYuDvsaiVM	www.siliconindia.com	1396430635915
80326	EC nod for RBI to issue new bank licences	http://www.smetimes.in/smetimes/news/indian-economy-news/2014/Apr/02/ec-nod-for-rbi-to-issue-new-bank-licences704281.html	SME Times	b	d80TjEemAhW18OMzRFagYuDvsaiVM	www.smetimes.in	1396430636108
80327	RBI will likely remain on an extended pause on interest rate	http://www.moneyguruindia.com/article.php\?cid=6898&amp;id=11&amp;sid=27	MoneyGuru India	b	d80TjEemAhW18OMzRFagYuDvsaiVM	www.moneyguruindia.com	1396430636313
80328	EC allows RBI to announce new bank licences	http://in.reuters.com/article/2014/04/01/india-banks-rbi-licences-idINDEEA3009K20140401	Reuters India	b	d80TjEemAhW18OMzRFagYuDvsaiVM	in.reuters.com	1396430636810
80329	No changes in key RBI rates on eve of polls	http://www.asianage.com/india/no-changes-key-rbi-rates-eve-polls-690	The Asian Age	b	d80TjEemAhW18OMzRFagYuDvsaiVM	www.asianage.com	1396430637008
80330	EC lets RBI issue new bank licences	http://www.asianage.com/india/ec-lets-rbi-issue-new-bank-licences-688	The Asian Age	b	d80TjEemAhW18OMzRFagYuDvsaiVM	www.asianage.com	1396430637326
80331	RBI bars foreign investors from short-term local debt	http://in.reuters.com/article/2014/04/01/india-economy-rbi-markets-idINDEEA3008P20140401	Reuters India	b	d80TjEemAhW18OMzRFagYuDvsaiVM	in.reuters.com	1396430637520
80332	Reserve Bank of India leaves rates on hold as inflation eases	http://www.dnaindia.com/money/report-reserve-bank-of-india-leaves-rates-on-hold-as-inflation-eases-1974400	Daily News \& Analysis	b	d80TjEemAhW18OMzRFagYuDvsaiVM	www.dnaindia.com	1396430637735
80333	Raghuram Rajan: Only surprising thing about the policy was lack of surprise	http://www.financialexpress.com/news/raghuram-rajan-only-surprising-thing-about-the-policy-was-lack-of-surprise/1237552	Financial Express	b	d80TjEemAhW18OMzRFagYuDvsaiVM	www.financialexpress.com	1396430637981
80334	7 million Americans sign up for Obamacare	http://www.newsonair.com/news.asp\?cat=business&amp;id=BN1013	All India Radio	b	d80TjEemAhW18OMzRFagYuDvsaiVM	www.newsonair.com	1396430638174
80335	SLR cut hinges on fiscal correction push under new govt: RBI	http://economictimes.indiatimes.com/news/economy/policy/slr-cut-hinges-on-fiscal-correction-push-under-new-govt-rbi/articleshow/33088772.cms	Economic Times	b	d80TjEemAhW18OMzRFagYuDvsaiVM	economictimes.indiatimes.com	1396430638367
80336	Election Commission allows RBI to issue new bank licences	http://indianexpress.com/article/business/banking-and-finance/poll-panel-allows-rbi-to-issue-new-bank-licences-2/	Indian Express	b	d80TjEemAhW18OMzRFagYuDvsaiVM	indianexpress.com	1396430638665
80337	India leaves rates on hold	http://www.brecorder.com/money-a-banking/198/1168797/	Business Recorder	b	d80TjEemAhW18OMzRFagYuDvsaiVM	www.brecorder.com	1396430638921
80338	RBI holds repo rate steady at 8%, as expected	http://profit.ndtv.com/news/economy/article-rbi-holds-repo-rate-steady-at-8-as-expected-384287	NDTV	b	d80TjEemAhW18OMzRFagYuDvsaiVM	profit.ndtv.com	1396430639239
80339	Don't levy penalty on savings account: RBI to banks	http://profit.ndtv.com/news/your-money/article-dont-levy-penalty-on-savings-account-rbi-to-banks-384370	NDTV	b	d80TjEemAhW18OMzRFagYuDvsaiVM	profit.ndtv.com	1396430639457
80340	India keeps rates on hold ahead of election	http://www.dawn.com/news/1097103/india-keeps-rates-on-hold-ahead-of-election	DAWN.com	b	d80TjEemAhW18OMzRFagYuDvsaiVM	www.dawn.com	1396430639767
80341	Election Commission gives green signal for new bank licences	http://www.dnaindia.com/money/report-election-commission-gives-green-signal-for-new-bank-licences-1974395	Daily News \& Analysis	b	d80TjEemAhW18OMzRFagYuDvsaiVM	www.dnaindia.com	1396430640085
80342	New Banking License: Election Commission Clears Way for New Bank Licences	http://www.aegindia.org/2014/04/new-banking-license-election-commission-clears-way-for-new-bank-licences/2149303.html	AEG India	b	d80TjEemAhW18OMzRFagYuDvsaiVM	www.aegindia.org	1396430640270
80343	RBI may buy US dollars to shore up forex pile	http://economictimes.indiatimes.com/markets/forex/rbi-may-buy-us-dollars-to-shore-up-forex-pile/articleshow/33099839.cms	Economic Times	b	d80TjEemAhW18OMzRFagYuDvsaiVM	economictimes.indiatimes.com	1396430640620
80344	RBI keeps interest rates on hold; no change in EMIs	http://zeenews.india.com/business/news/finance/rbi-keeps-interest-rates-on-hold-no-change-in-emis_97140.html	Zee News	b	d80TjEemAhW18OMzRFagYuDvsaiVM	zeenews.india.com	1396430640949
80345	EC Ticks New Bank Licences	http://www.newindianexpress.com/business/news/EC-Ticks-New-Bank-Licences/2014/04/02/article2144026.ece	The New Indian Express	b	d80TjEemAhW18OMzRFagYuDvsaiVM	www.newindianexpress.com	1396430641133
80346	With EC Tick, Stage Set for RBI to Go Ahead with New Bank Licences	http://www.newindianexpress.com/business/news/With-EC-Tick-Stage-Set-for-RBI-to-Go-Ahead-with-New-Bank-Licences/2014/04/02/article2144039.ece	The New Indian Express	b	d80TjEemAhW18OMzRFagYuDvsaiVM	www.newindianexpress.com	1396430641352
80347	RBI to propose steps to reduce window dressing by banks	http://economictimes.indiatimes.com/articleshow/33099560.cms	Economic Times	b	d80TjEemAhW18OMzRFagYuDvsaiVM	economictimes.indiatimes.com	1396430641545
80348	Posted by Shoaib-ur-Rehman Siddiqui	http://www.brecorder.com/business-a-finance/banking-a-finance/165355.html	Business Recorder	b	d80TjEemAhW18OMzRFagYuDvsaiVM	www.brecorder.com	1396430641755
80349	Posted by Parvez Jabri	http://www.brecorder.com/business-a-finance/banking-a-finance/165375.html	Business Recorder	b	d80TjEemAhW18OMzRFagYuDvsaiVM	www.brecorder.com	1396430642038
80350	RBI taking more nuanced approach even to its preferred measure of inflation	http://economictimes.indiatimes.com/opinion/editorial/rbi-taking-more-nuanced-approach-even-to-its-preferred-measure-of-inflation/articleshow/33098955.cms	Economic Times	b	d80TjEemAhW18OMzRFagYuDvsaiVM	economictimes.indiatimes.com	1396430642258
80351	ET view: Inflation battle not yet won	http://economictimes.indiatimes.com/news/economy/policy/et-view-inflation-battle-not-yet-won/articleshow/33097694.cms	Economic Times	b	d80TjEemAhW18OMzRFagYuDvsaiVM	economictimes.indiatimes.com	1396430642509
80352	Prop for foreigners	http://www.telegraphindia.com/1140402/jsp/business/story_18144902.jsp	Calcutta Telegraph	b	d80TjEemAhW18OMzRFagYuDvsaiVM	www.telegraphindia.com	1396430642702
80353	Permit push in pause period	http://www.telegraphindia.com/1140402/jsp/business/story_18145223.jsp	Calcutta Telegraph	b	d80TjEemAhW18OMzRFagYuDvsaiVM	www.telegraphindia.com	1396430642895
80354	Stage set for new bank licences	http://www.telegraphindia.com/1140402/jsp/business/story_18145230.jsp	Calcutta Telegraph	b	d80TjEemAhW18OMzRFagYuDvsaiVM	www.telegraphindia.com	1396430643171
80355	Book-keeping under lens	http://www.telegraphindia.com/1140402/jsp/business/story_18144905.jsp	Calcutta Telegraph	b	d80TjEemAhW18OMzRFagYuDvsaiVM	www.telegraphindia.com	1396430643340
80356	RBI may not hesitate to wield the stick if foreign banks create local subsidiaries	http://economictimes.indiatimes.com/industry/banking/finance/banking/rbi-may-not-hesitate-to-wield-the-stick-if-foreign-banks-create-local-subsidiaries/articleshow/33093823.cms	Economic Times	b	d80TjEemAhW18OMzRFagYuDvsaiVM	economictimes.indiatimes.com	1396430643508
80357	Raghuram Rajan warns of turmoil in markets if polls deliver unstable government	http://economictimes.indiatimes.com/markets/analysis/raghuram-rajan-warns-of-turmoil-in-markets-if-polls-deliver-unstable-government/articleshow/33076066.cms	Economic Times	b	d80TjEemAhW18OMzRFagYuDvsaiVM	economictimes.indiatimes.com	1396430643710
