80401	'RBI's status quo on policy rates disappoints once again'	http://www.smetimes.in/smetimes/news/top-stories/2014/Apr/02/rbi-s-status-quo-on-policy-rates-disappoints-once-again630845.html	SME Times	b	d80TjEemAhW18OMzRFagYuDvsaiVM	www.smetimes.in	1396430654705
80402	Foreign banks need to be responsive to local norms: RBI Governor	http://www.deccanherald.com/content/396033/foreign-banks-need-responsive-local.html	Deccan Herald	b	d80TjEemAhW18OMzRFagYuDvsaiVM	www.deccanherald.com	1396430654999
80403	India central bank leaves rates on hold, as expected	http://www.globalpost.com/dispatch/news/thomson-reuters/140401/india-central-bank-leaves-interest-rates-unchanged	GlobalPost	b	d80TjEemAhW18OMzRFagYuDvsaiVM	www.globalpost.com	1396430655208
80404	Rajan holds fire, but EMI of your loan may still rise	http://www.mydigitalfc.com/news/rajan-holds-fire-emi-your-loan-may-still-rise-131	mydigitalfc.com	b	d80TjEemAhW18OMzRFagYuDvsaiVM	www.mydigitalfc.com	1396430655386
80405	RBI is waiting for new government before making policy moves	http://www.hindustantimes.com/comment/rbi-is-waiting-for-new-government-before-making-policy-moves/article1-1203144.aspx	Hindustan Times	b	d80TjEemAhW18OMzRFagYuDvsaiVM	www.hindustantimes.com	1396430655696
80406	EC paves way for issuing bank licences	http://www.mydigitalfc.com/news/ec-paves-way-issuing-bank-licences-125	mydigitalfc.com	b	d80TjEemAhW18OMzRFagYuDvsaiVM	www.mydigitalfc.com	1396430655889
80407	Large foreign banks need to be responsive to local norms: RBI	http://zeenews.india.com/business/news/finance/large-foreign-banks-need-to-be-responsive-to-local-norms-rbi_97188.html	Zee News	b	d80TjEemAhW18OMzRFagYuDvsaiVM	zeenews.india.com	1396430656079
80408	Right now, the policy is appropriately set: Rajan	http://www.thehindubusinessline.com/economy/macro-economy/right-now-the-policy-is-appropriately-set-rajan/article5859105.ece	Hindu Business Line	b	d80TjEemAhW18OMzRFagYuDvsaiVM	www.thehindubusinessline.com	1396430656267
80409	Rajan says payment banks on the anvil	http://zeenews.india.com/business/news/finance/rajan-says-payment-banks-on-the-anvil_97187.html	Zee News	b	d80TjEemAhW18OMzRFagYuDvsaiVM	zeenews.india.com	1396430656543
80410	RBI keeps key rate unchanged	http://www.thehindu.com/business/Economy/rbi-keeps-key-rate-unchanged/article5857948.ece	The Hindu	b	d80TjEemAhW18OMzRFagYuDvsaiVM	www.thehindu.com	1396430656742
80411	Focus is on 'rate of credit' consistent with 'rate of inflation': Raghuram Rajan	http://economictimes.indiatimes.com/opinion/interviews/focus-is-on-rate-of-credit-consistent-with-rate-of-inflation-raghuram-rajan/articleshow/33088590.cms	Economic Times	b	d80TjEemAhW18OMzRFagYuDvsaiVM	economictimes.indiatimes.com	1396430656947
80412	RBI hopes to soon offer new bank licences on tap	http://www.thehindubusinessline.com/economy/rbi-hopes-to-soon-offer-new-bank-licences-on-tap/article5859735.ece	Hindu Business Line	b	d80TjEemAhW18OMzRFagYuDvsaiVM	www.thehindubusinessline.com	1396430657139
80413	RBI seeks tighter grip on rates via 'term repo'	http://www.thehindubusinessline.com/economy/policy/rbi-seeks-tighter-grip-on-rates-via-term-repo/article5859751.ece	Hindu Business Line	b	d80TjEemAhW18OMzRFagYuDvsaiVM	www.thehindubusinessline.com	1396430657350
80414	'Window dressing' of balance sheet irks RBI	http://www.thehindubusinessline.com/economy/policy/rajan-warns-staterun-banks-against-yearend-windowdressing/article5858302.ece	Hindu Business Line	b	d80TjEemAhW18OMzRFagYuDvsaiVM	www.thehindubusinessline.com	1396430657581
80415	Poll panel clears the way for new bank licences	http://www.thehindubusinessline.com/economy/poll-panel-clears-the-way-for-new-bank-licences/article5859744.ece	Hindu Business Line	b	d80TjEemAhW18OMzRFagYuDvsaiVM	www.thehindubusinessline.com	1396430657749
80416	Rajan sticks to the script, holds key rates	http://www.thehindubusinessline.com/economy/policy/rbi-monetary-policy-review-rajan-delivers-no-surprises-holds-interest-rates/article5857861.ece	Hindu Business Line	b	d80TjEemAhW18OMzRFagYuDvsaiVM	www.thehindubusinessline.com	1396430657951
80417	Poll panel allows RBI to issue new bank licences	https://indianexpress.com/article/business/banking-and-finance/poll-panel-allows-rbi-to-issue-new-bank-licences/	Indian Express	b	d80TjEemAhW18OMzRFagYuDvsaiVM	indianexpress.com	1396430658136
80418	Status quo, firmly	http://www.business-standard.com/article/opinion/status-quo-firmly-114040101222_1.html	Business Standard	b	d80TjEemAhW18OMzRFagYuDvsaiVM	www.business-standard.com	1396430658340
80419	EC gives go ahead to RBI for issuing new banking licences	http://www.business-standard.com/article/news-ani/ec-gives-go-ahead-to-rbi-for-issuing-new-banking-licences-114040101236_1.html	Business Standard	b	d80TjEemAhW18OMzRFagYuDvsaiVM	www.business-standard.com	1396430658776
80420	RBI gets EC nod for issuing new bank licences	http://www.domain-b.com/economy/general/20140401_bank_licences.html	domain-B	b	d80TjEemAhW18OMzRFagYuDvsaiVM	www.domain-b.com	1396430658985
80421	New Delhi keeps key rate on hold as inflation eases	http://www.timesofoman.com/News/31920/Article-New-Delhi-keeps-key-rate-on-hold-as-inflation-eases	Times of Oman	b	d80TjEemAhW18OMzRFagYuDvsaiVM	www.timesofoman.com	1396430659195
80422	RBI keeps key rates on hold; EMIs to remain same	http://www.hindustantimes.com/business-news/rbi-leaves-repo-rate-crr-unchanged/article1-1202818.aspx	Hindustan Times	b	d80TjEemAhW18OMzRFagYuDvsaiVM	www.hindustantimes.com	1396430659740
80423	EC clears way for RBI to issue new bank licences	http://www.livemint.com/Politics/7cg8hnVWbblRYQGYCeZRSL/Election-Commission-says-RBI-can-issue-new-bank-licences.html	Livemint	b	d80TjEemAhW18OMzRFagYuDvsaiVM	www.livemint.com	1396430659924
80424	SLR cut hinges on fiscal correction push under new government: RBI	http://www.dnaindia.com/money/report-slr-cut-hinges-on-fiscal-correction-push-under-new-government-rbi-1974300	Daily News \& Analysis	b	d80TjEemAhW18OMzRFagYuDvsaiVM	www.dnaindia.com	1396430660242
80425	Election Commission allows Raghuram Rajan's RBI to announce new bank  ...	http://www.financialexpress.com/news/election-commission-allows-raghuram-rajans-rbi-to-announce-new-bank-licences/1237412	Financial Express	b	d80TjEemAhW18OMzRFagYuDvsaiVM	www.financialexpress.com	1396430660457
80426	RBI Governor warns of turmoil in markets if Lok Sabha polls deliver unstable govt	http://zeenews.india.com/business/news/rajan-warns-of-turmoil-in-markets-if-polls-deliver-unstable-govt_97152.html	Zee News	b	d80TjEemAhW18OMzRFagYuDvsaiVM	zeenews.india.com	1396430660728
80427	RIP repo rate?	http://www.thehindubusinessline.com/opinion/editorial/rip-repo-rate/article5859367.ece\?homepage=true	Hindu Business Line	b	d80TjEemAhW18OMzRFagYuDvsaiVM	www.thehindubusinessline.com	1396430660910
80428	A touch here, a tweak there	http://www.thehindubusinessline.com/opinion/a-touch-here-a-tweak-there/article5859338.ece\?homepage=true	Hindu Business Line	b	d80TjEemAhW18OMzRFagYuDvsaiVM	www.thehindubusinessline.com	1396430661123
80429	Election commission allows RBI to announce new bank licences	http://economictimes.indiatimes.com/news/economy/policy/election-commission-allows-rbi-to-announce-new-bank-licences/articleshow/33081902.cms	Economic Times	b	d80TjEemAhW18OMzRFagYuDvsaiVM	economictimes.indiatimes.com	1396430661333
80430	RBI leaves rates unchanged; takes note of gains in share mkt	http://freepressjournal.in/rbi-leaves-rates-unchanged-takes-note-of-gains-in-share-mkt/	Free Press Journal	b	d80TjEemAhW18OMzRFagYuDvsaiVM	freepressjournal.in	1396430661690
80431	Mkt turmoil likely if polls deliver unstable govt: Rajan	http://www.moneycontrol.com/news/economy/mkt-turmoil-likely-if-polls-deliver-unstable-govt-rajan_1062301.html	Moneycontrol.com	b	d80TjEemAhW18OMzRFagYuDvsaiVM	www.moneycontrol.com	1396430661916
80432	No rate cut in sight for the near future	http://www.livemint.com/Money/TskrshKaNd7pzXPwaXieEO/No-rate-cut-in-sight-for-the-near-future.html	Livemint	b	d80TjEemAhW18OMzRFagYuDvsaiVM	www.livemint.com	1396430662113
80433	SLR cut hinges on fiscal correction push under new govt: Reserve Bank	http://www.financialexpress.com/news/slr-cut-hinges-on-fiscal-correction-push-under-new-govt-reserve-bank/1237438	Financial Express	b	d80TjEemAhW18OMzRFagYuDvsaiVM	www.financialexpress.com	1396430662337
80434	Raghuram Rajan warns of turmoil in stock market	http://www.financialexpress.com/news/raghuram-rajan-warns-of-turmoil-in-stock-market/1237377	Financial Express	b	d80TjEemAhW18OMzRFagYuDvsaiVM	www.financialexpress.com	1396430662513
80435	Rajan warns PSU banks against year-end window-dressing	http://www.moneycontrol.com/news/economy/rajan-warns-psu-banks-against-year-end-window-dressing_1062298.html	Moneycontrol.com	b	d80TjEemAhW18OMzRFagYuDvsaiVM	www.moneycontrol.com	1396430662965
80436	Why interest rates will remain high	http://www.livemint.com/Money/1F47kPD1eIf4MowinaHSFI/Why-interest-rates-will-remain-high.html	Livemint	b	d80TjEemAhW18OMzRFagYuDvsaiVM	www.livemint.com	1396430663166
80437	Repo Rate kept unchanged by RBI in First Bi-monthly Monetary Policy Statement  ...	http://www.jagranjosh.com/current-affairs/repo-rate-kept-unchanged-by-rbi-in-first-bimonthly-monetary-policy-statement-201415-1396358780-1	Jagran Josh	b	d80TjEemAhW18OMzRFagYuDvsaiVM	www.jagranjosh.com	1396430663371
80438	RBI keeps key policy rates on hold; EMIs to remain unchanged	http://twocircles.net/2014apr01/rbi_keeps_key_policy_rates_hold_emis_remain_unchanged.html	TwoCircles.net	b	d80TjEemAhW18OMzRFagYuDvsaiVM	twocircles.net	1396430663916
80439	No penalty for bank balance below minimum limits, RBI says	http://freepressjournal.in/no-penalty-for-bank-balance-below-minimum-limits-rbi-says/	Free Press Journal	b	d80TjEemAhW18OMzRFagYuDvsaiVM	freepressjournal.in	1396430664133
80440	RBI proposes removal of minimum balance penalty by banks	http://www.business-standard.com/article/finance/rbi-proposes-removal-of-minimum-balance-penalty-by-banks-114040100353_1.html	Business Standard	b	d80TjEemAhW18OMzRFagYuDvsaiVM	www.business-standard.com	1396430664327
80441	EC gives nod to RBI to issue bank licences	http://www.hindustantimes.com/business-news/rbi-gets-ec-approval-to-grant-new-bank-licences/article1-1203014.aspx	Hindustan Times	b	d80TjEemAhW18OMzRFagYuDvsaiVM	www.hindustantimes.com	1396430664578
80442	RBI holds rates as inflation follows 'glide path'	http://www.centralbanking.com/central-banking/news/2337452/rbi-holds-rates-as-inflation-follows-glide-path	Central Banking \(subscription\)	b	d80TjEemAhW18OMzRFagYuDvsaiVM	www.centralbanking.com	1396430664945
80443	On tap licences first for niche banks, then for universal banks: Rajan	http://www.business-standard.com/article/finance/on-tap-licences-first-for-niche-banks-then-for-universal-banks-rajan-114040101053_1.html	Business Standard	b	d80TjEemAhW18OMzRFagYuDvsaiVM	www.business-standard.com	1396430665204
80444	Raghuram Rajan warns of turmoil in markets if elections deliver unstable  ...	http://www.deccanchronicle.com/140401/business-latest/article/raghuram-rajan-warns-turmoil-markets-if-polls-deliver-unstable	Deccan Chronicle	b	d80TjEemAhW18OMzRFagYuDvsaiVM	www.deccanchronicle.com	1396430665388
80445	Inflation control is top priority for RBI, says India Inc	http://www.business-standard.com/article/finance/inflation-control-is-top-priority-for-rbi-says-india-inc-114040100960_1.html	Business Standard	b	d80TjEemAhW18OMzRFagYuDvsaiVM	www.business-standard.com	1396430665565
80446	Inflation-warrior Rajan hits pause button on interest rates	http://www.business-standard.com/article/finance/inflation-warrior-rajan-hits-pause-button-on-interest-rates-114040100958_1.html	Business Standard	b	d80TjEemAhW18OMzRFagYuDvsaiVM	www.business-standard.com	1396430665764
80447	Rajan warns of market turmoil post election	http://profit.ndtv.com/news/market/article-rajan-warns-of-market-turmoil-post-election-384396	NDTV	b	d80TjEemAhW18OMzRFagYuDvsaiVM	profit.ndtv.com	1396430666029
