334901	Chair Shots: WWE Money in the Bank preview and predictions	http://www.carrollcountytimes.com/blogs/sports/chair_shots/chair-shots-wwe-money-in-the-bank-preview-and-predictions/article_3e82ee88-ff88-11e3-a592-0019bb2963f4.html	Carroll County Times \(blog\)	b	dZUy5eJ7UG3BZEMQTo0u9JAvNwbnM	www.carrollcountytimes.com	1404150399824
334902	Full Predictions for Each Star in Briefcase Match	http://bleacherreport.com/articles/2112422-wwe-money-in-the-bank-2014-full-predictions-for-each-star-in-briefcase-match	Bleacher Report	b	dZUy5eJ7UG3BZEMQTo0u9JAvNwbnM	bleacherreport.com	1404150400138
334903	WWE Top 5 Rumors of the week and Analysis : 29 June, 2014	http://www.sportskeeda.com/slideshow/wwe-top-5-rumors-week-analysis-29-june-2014/	Sportskeeda	b	dZUy5eJ7UG3BZEMQTo0u9JAvNwbnM	www.sportskeeda.com	1404150400630
334904	Money in the Bank Predictions	http://www.cambridgechron.com/article/20140628/BLOGS/306289987/-1/news	CambridgeChronicle.com \(blog\)	b	dZUy5eJ7UG3BZEMQTo0u9JAvNwbnM	www.cambridgechron.com	1404150400962
334905	WWE Live Event results: Kane vs Reigns at Portland on the night before Money  ...	http://www.sportskeeda.com/wwe/wwe-live-event-results-kane-reigns-portland-night-before-money-in-the-bank/	Sportskeeda	b	dZUy5eJ7UG3BZEMQTo0u9JAvNwbnM	www.sportskeeda.com	1404150401240
334906	Backstage Talk on Daniel Bryan and His MITB Pre-show Return	http://www.twnpnews.com/2014/06/backstage-talk-daniel-bryan-mitb-pre-show-return/	TWNP-Wrestling News	b	dZUy5eJ7UG3BZEMQTo0u9JAvNwbnM	www.twnpnews.com	1404150401435
334907	WWE Money in the Bank 2014 results, live streaming match coverage (June 29)	http://www.cagesideseats.com/2014/6/29/5848654/wwe-money-in-the-bank-2014-results-live-streaming-match-coverage-june-29	Cageside Seats \(blog\)	b	dZUy5eJ7UG3BZEMQTo0u9JAvNwbnM	www.cagesideseats.com	1404150401633
334908	WWE Live Event Results From Portland (6/28): Last Man Standing Match, The  ...	http://www.wrestlinginc.com/wi/news/2014/0629/577518/wwe-live-event-results/	Wrestling Inc.	b	dZUy5eJ7UG3BZEMQTo0u9JAvNwbnM	www.wrestlinginc.com	1404150401855
334909	2014 WWE Money In The Bank Start Time, Odds, Predictions	http://pregame.com/sports/stories/b/news/archive/2014/06/28/2014-wwe-money-in-the-bank-start-time-odds-predictions.aspx	Pregame.com	b	dZUy5eJ7UG3BZEMQTo0u9JAvNwbnM	pregame.com	1404150402154
334910	WWE Money in the Bank betting odds 2014: Seth Rollins favored to win briefcase	http://fansided.com/2014/06/28/wwe-money-bank-betting-odds-2014-seth-rollins-favored-win-briefcase/	FanSided	b	dZUy5eJ7UG3BZEMQTo0u9JAvNwbnM	fansided.com	1404150402380
334911	WWE Money In the Bank Predictions For Sunday's Event	http://www.chicagonow.com/ringside-chicago/2014/06/wwe-money-in-the-bank-predictions-for-sundays-event/	ChicagoNow \(blog\)	b	dZUy5eJ7UG3BZEMQTo0u9JAvNwbnM	www.chicagonow.com	1404150402574
