182901	Best Beauty Looks At The 2014 Met Gala	https://ph.celebrity.yahoo.com/photos/best-beauty-looks-at-the-2014-met-gala-slideshow/	Yahoo Philippines News	e	dbfJRt2YOiGnSoMC7S8yBd9gQohiM	ph.celebrity.yahoo.com	1399382210654
182902	Snapshot: Did Katie Holmes just borrow Disney princess Belle's canary yellow  ...	http://ibnlive.in.com/news/snapshot-did-katie-holmes-just-borrow-disney-princess-belles-canary-yellow-ball-gown-design-for-the-met-gala/469912-8-67.html	IBNLive	e	dbfJRt2YOiGnSoMC7S8yBd9gQohiM	ibnlive.in.com	1399382210996
182903	A-listers gather at Met Ball in New York	http://www.standard.co.uk/news/world/the-oscar-night-of-fashion-alisters-party-in-dazzling-outfits-at-met-ball-gala-in-new-york-9324980.html	Evening Standard	e	dbfJRt2YOiGnSoMC7S8yBd9gQohiM	www.standard.co.uk	1399382211445
182904	Lupita Nyong'o is a Fashion Fail as Kim Kardashian Gets Best Dressed at the  ...	http://www.ahlanlive.com/lupita-nyongo-is-a-fashion-fail-as-kim-kardashian-gets-best-dressed-at-the-met-gala-493879.html	AhlanLive.com	e	dbfJRt2YOiGnSoMC7S8yBd9gQohiM	www.ahlanlive.com	1399382211700
182905	Chrissy Teigen puts on a side show as she arrives at Met Gala	http://www.dailymail.co.uk/tvshowbiz/article-2621041/Chrissy-Teigen-puts-arrives-Met-Gala-risque-halter-gown.html	Daily Mail	e	dbfJRt2YOiGnSoMC7S8yBd9gQohiM	www.dailymail.co.uk	1399382211927
182906	Marion Cotillard wears only one Chopard earring with her plunging Dior at Met  ...	http://www.dailymail.co.uk/tvshowbiz/article-2621177/Marion-Cotillard-wears-one-Chopard-earring-plunging-Dior-Met-Gala.html	Daily Mail	e	dbfJRt2YOiGnSoMC7S8yBd9gQohiM	www.dailymail.co.uk	1399382212685
182907	Katie Holmes' Disney-style yellow Marchesa dress falls flat at Met Gala	http://www.dailymail.co.uk/tvshowbiz/article-2621098/Katie-Holmes-looks-like-shes-fled-period-movie-set-disastrous-mustard-Marchesa-gown-Met-Gala.html	Daily Mail	e	dbfJRt2YOiGnSoMC7S8yBd9gQohiM	www.dailymail.co.uk	1399382212936
182908	Met Gala streaker tackled by police just feet away from red carpet	http://www.dailymail.co.uk/news/article-2621097/Chaos-Met-Gala-New-York-City-streaker-tackled-police-just-feet-away-red-carpet.html	Daily Mail	e	dbfJRt2YOiGnSoMC7S8yBd9gQohiM	www.dailymail.co.uk	1399382213824
182909	Naomi Campbell is on form in striking embellished gown as she makes at  ...	http://www.dailymail.co.uk/tvshowbiz/article-2621218/Naomi-Campbell-form-striking-embellished-gown-makes-entrance-Met-Gala.html	Daily Mail	e	dbfJRt2YOiGnSoMC7S8yBd9gQohiM	www.dailymail.co.uk	1399382214129
182910	Kendall Jenner looks radiant in Topshop corset gown at Met Gala 2014	http://www.dailymail.co.uk/tvshowbiz/article-2621024/Met-Gala-2014-Kendall-Jenner-looks-radiant-Topshop-corset-gown.html	Daily Mail	e	dbfJRt2YOiGnSoMC7S8yBd9gQohiM	www.dailymail.co.uk	1399382214411
182911	Lupita Nyong'o Wears Prada At The 2014 Met Gala: Love It? Hate It?	http://www.fashionnstyle.com/articles/19349/20140506/lupita-nyong-o-wears-prada-at-the-2014-met-gala-love-it-hate-it.htm	Fashion \& Style	e	dbfJRt2YOiGnSoMC7S8yBd9gQohiM	www.fashionnstyle.com	1399382215047
182912	Beyonce's Met Gala 2014 Dress Is Sheer Fabulousness	http://www.huffingtonpost.com/2014/05/05/beyonce-met-gala-2014-dress-photos_n_5264483.html\?ir=Style	Huffington Post	e	dbfJRt2YOiGnSoMC7S8yBd9gQohiM	www.huffingtonpost.com	1399382215260
182913	Jay Z Looked Suave In Givenchy At The 2014 Met Gala: The Guy's Eye	http://www.fashionnstyle.com/articles/19347/20140506/jay-z-looked-suave-in-givenchy-at-the-2014-met-gala-the-guy-s-eye.htm	Fashion \& Style	e	dbfJRt2YOiGnSoMC7S8yBd9gQohiM	www.fashionnstyle.com	1399382215511
