291401	Galaxy Note 4 Release Date, Specs: Samsung Phablet to Have 2 Versions  ...	http://www.theepochtimes.com/n3/738247-galaxy-note-4-release-date-specs-samsung-phablet-to-have-2-versions-report-says/	The Epoch Times	t	ddiIDGNlSlw875MRnwmTW9pRkRJnM	www.theepochtimes.com	1402936949083
291402	Review: Samsung Galaxy Core Plus vs. Samsung Galaxy Core Advance, Details  ...	http://airherald.com/review-samsung-galaxy-core-plus-vs-samsung-galaxy-core-advance-details-about-prices-and-specs/2651/	Air Herald	t	ddiIDGNlSlw875MRnwmTW9pRkRJnM	airherald.com	1402936949328
291403	Samsung Galaxy Note 4 display details continue to leak out	http://www.phonedog.com/2014/06/16/samsung-galaxy-note-4-display-details-continue-to-leak-out/	PhoneDog	t	ddiIDGNlSlw875MRnwmTW9pRkRJnM	www.phonedog.com	1402936949558
291404	Samsung Galaxy S5 Pictured Next to the Galaxy F in a New Leak	http://www.androidorigin.com/samsung-galaxy-s5-galaxy-f-leak/	AndroidOrigin	t	ddiIDGNlSlw875MRnwmTW9pRkRJnM	www.androidorigin.com	1402936949810
291405	Samsung Galaxy Tab 3 7.0 Gets Android 4.4 KitKat on Sprint	http://www.mobiletechreview.com/ubbthreads/showflat.php\?Number=46583	MobileTechReview.com	t	ddiIDGNlSlw875MRnwmTW9pRkRJnM	www.mobiletechreview.com	1402936950059
291406	Samsung hints that its next Galaxy Note phone will have a quad HD display	http://www.engadget.com/2014/06/16/samsung-hints-at-quad-hd-galaxy-note/	Engadget	t	ddiIDGNlSlw875MRnwmTW9pRkRJnM	www.engadget.com	1402936950482
291407	Samsung Galaxy Tab S and Apple iPad Mini with Retina Display comparison in  ...	http://tehranchronicle.com/samsung-galaxy-tab-s-and-apple-ipad-mini-with-retina-display-comparison-in-price-features-and-specifications/9681/	Tehran Chronicle	t	ddiIDGNlSlw875MRnwmTW9pRkRJnM	tehranchronicle.com	1402936950845
291408	Samsung Galaxy Note 4 release date: New concept image gets shiny back cover	http://www.christiantoday.com/article/samsung.galaxy.note.4.release.date.new.concept.image/38139.htm	ChristianToday	t	ddiIDGNlSlw875MRnwmTW9pRkRJnM	www.christiantoday.com	1402936951080
291409	Samsung Galaxy Tab S Appears In Official Hands On Video	http://www.geeky-gadgets.com/samsung-galaxy-tab-s-appears-in-official-hands-on-video-16-06-2014/	Geeky gadgets	t	ddiIDGNlSlw875MRnwmTW9pRkRJnM	www.geeky-gadgets.com	1402936951354
291410	At IFA in Berlin,Samsung may release Galaxy Note 4	http://thefootballexaminer.com/technology-22/at-ifa-in-berlin-samsung-may-release-galaxy-note-4-2659.html	The Football Examiner	t	ddiIDGNlSlw875MRnwmTW9pRkRJnM	thefootballexaminer.com	1402936951565
291411	Samsung Galaxy Note 4 Sightings Back Up Rumored Specs	http://www.modernreaders.com/samsung-galaxy-note-4-sightings-back-up-rumored-specs/7368/lorenzo-tanos	Modern Readers	t	ddiIDGNlSlw875MRnwmTW9pRkRJnM	www.modernreaders.com	1402936951887
291412	Samsung Galaxy S5 Broadband LTE-A: QHD Display Smartphone To Go Official  ...	http://www.gizbot.com/mobile/samsung-galaxy-s5-broadband-lte-a-qhd-display-smartphone-go-017763.html	Gizbot	t	ddiIDGNlSlw875MRnwmTW9pRkRJnM	www.gizbot.com	1402936952223
291413	Samsung Galaxy Note 4 to pack a pixel punch as QHD screen 'confirmed'	http://www.techradar.com/news/phone-and-communications/mobile-phones/samsung-galaxy-note-4-to-pack-a-pixel-punch-as-qhd-screen-confirmed--1253510	TechRadar UK	t	ddiIDGNlSlw875MRnwmTW9pRkRJnM	www.techradar.com	1402936952466
291414	Samsung Galaxy Note 4 is a phablet, comes in curve and flat version	http://www.ecumenicalnews.com/article/samsung-galaxy-note-4-is-a-phablet-comes-in-curve-and-flat-version-25160	Ecumenical News	t	ddiIDGNlSlw875MRnwmTW9pRkRJnM	www.ecumenicalnews.com	1402936952865
291415	iPhone 5S and Samsung Galaxy S5 price cut...	http://www.uswitch.com/mobiles/news/2014/06/iphone_5s_and_samsung_galaxy_s5_price_cut_three_world_cup_promotion/	uSwitch.com \(Tech\)	t	ddiIDGNlSlw875MRnwmTW9pRkRJnM	www.uswitch.com	1402936953518
291416	Sale of Samsung Galaxy Tab S 8.4 and 10.5 started in UK	http://thefootballexaminer.com/technology-22/sale-of-samsung-galaxy-tab-s-8-4-and-10-5-started-in-uk-2654.html	The Football Examiner	t	ddiIDGNlSlw875MRnwmTW9pRkRJnM	thefootballexaminer.com	1402936953771
291417	Samsung Galaxy F (S5 Prime) boasts metal design in 'perfect golden' hue	http://www.itechpost.com/articles/12363/20140616/samsung-galaxy-f-s5-prime-boasts-metal-design-in-perfect-golden-hue.htm	iTech Post	t	ddiIDGNlSlw875MRnwmTW9pRkRJnM	www.itechpost.com	1402936953962
291418	Samsung Galaxy Grand Neo vs Samsung Galaxy S4 Mini – Specifications and  ...	http://thefusejoplin.com/2014/06/samsung-galaxy-grand-neo-samsung-galaxy-s4-mini-specifications-pricing-compared/	The Fuse Joplin	t	ddiIDGNlSlw875MRnwmTW9pRkRJnM	thefusejoplin.com	1402936954200
291419	Samsung Galaxy S4 Mini vs Samsung Galaxy Core Advance – Comparison of  ...	http://thefusejoplin.com/2014/06/samsung-galaxy-s4-mini-samsung-galaxy-core-advance-comparison-pricing-specifications/	The Fuse Joplin	t	ddiIDGNlSlw875MRnwmTW9pRkRJnM	thefusejoplin.com	1402936954426
291420	Samsung Galaxy S5 has the best smartphone camera, according to DxOMark	http://www.androidauthority.com/galaxy-s5-best-camera-dxomark-393770/	Android Authority	t	ddiIDGNlSlw875MRnwmTW9pRkRJnM	www.androidauthority.com	1402936954712
291421	Review: Sony Xperia Z2 vs Samsung Galaxy S5 – Prices, Specs, Design  ...	http://www.streetwisetech.com/2014/06/review-sony-xperia-z2-vs-samsung-galaxy-s5-prices-specs-design-camera-battery-life/	StreetWise Tech	t	ddiIDGNlSlw875MRnwmTW9pRkRJnM	www.streetwisetech.com	1402936955010
291422	Samsung Galaxy S5 LTE-A arriving on July 19 with Snapdragon 805: Report	http://www.androidos.in/2014/06/samsung-galaxy-s5-lte-arriving-july-19-snapdragon-805-report/	AndroidOS.in	t	ddiIDGNlSlw875MRnwmTW9pRkRJnM	www.androidos.in	1402936955257
291423	Samsung Galaxy Note 4 Render Sports Shiny Back Plate, Google Nexus Lines	http://www.modernreaders.com/samsung-galaxy-note-4-render-sports-shiny-back-plate-google-nexus-lines/7359/lorenzo-tanos	Modern Readers	t	ddiIDGNlSlw875MRnwmTW9pRkRJnM	www.modernreaders.com	1402936955464
291424	Samsung Galaxy Tab S vs. iPad Air: How Both Tablets Stack Up	http://www.valuewalk.com/2014/06/samsung-galaxy-tab-s-vs-ipad-air/	ValueWalk	t	ddiIDGNlSlw875MRnwmTW9pRkRJnM	www.valuewalk.com	1402936955681
291425	Review: Samsung Galaxy S5 Active vs LG G3 – Prices, Specs, Design, Camera  ...	http://www.streetwisetech.com/2014/06/review-samsung-galaxy-s5-active-vs-lg-g3-prices-specs-design-camera-battery-life/	StreetWise Tech	t	ddiIDGNlSlw875MRnwmTW9pRkRJnM	www.streetwisetech.com	1402936955873
291426	Review: Apple iPad Air vs Samsung Galaxy Note 10.1 – Prices, Specs, Design  ...	http://www.streetwisetech.com/2014/06/review-apple-ipad-air-vs-samsung-galaxy-note-10-1-prices-specs-design-camera-battery-life/	StreetWise Tech	t	ddiIDGNlSlw875MRnwmTW9pRkRJnM	www.streetwisetech.com	1402936956096
