101301	Can Family Dollar Handle the Heat?	http://www.fool.com/investing/general/2014/04/08/can-family-dollar-handle-the-heat.aspx	Motley Fool	b	d4p273oepCNzWtMV5ABFyvvmazkRM	www.fool.com	1397288743261
101302	Dollar steadies ahead of Yellen appearances next week	http://www.brecorder.com/markets/fxmm/americas/167254-dollar-steadies-ahead-of-yellen-appearances-next-week.html	Business Recorder	b	dhpby_46Ae5iB8ME-y0QZ8gSCJwLM	www.brecorder.com	1397289056442
101303	$US steadies ahead of Yellen appearance	http://www.skynews.com.au/businessnews/article.aspx\?id=966821	Sky News Australia	b	dhpby_46Ae5iB8ME-y0QZ8gSCJwLM	www.skynews.com.au	1397289056595
101304	Dollar Drops Most Since September as Fed Minutes Damp Rate Bets	http://www.businessweek.com/news/2014-04-12/dollar-drops-most-since-september-as-fed-minutes-damp-rate-bets	Businessweek	b	dhpby_46Ae5iB8ME-y0QZ8gSCJwLM	www.businessweek.com	1397289056789
101305	Early trade in New York: dollar edges higher on equities gloom	http://www.brecorder.com/money-a-banking/198/1172596/	Business Recorder	b	dhpby_46Ae5iB8ME-y0QZ8gSCJwLM	www.brecorder.com	1397289056982
101306	Dollar falls in New York	http://www.brecorder.com/money-a-banking/198/1172595/	Business Recorder	b	dhpby_46Ae5iB8ME-y0QZ8gSCJwLM	www.brecorder.com	1397289057174
101307	Dollar index falls to three-week lows in London	http://www.brecorder.com/money-a-banking/198/1172037/	Business Recorder	b	dhpby_46Ae5iB8ME-y0QZ8gSCJwLM	www.brecorder.com	1397289057358
101308	Early trade in New York: dollar drops versus yen, Swiss franc	http://www.brecorder.com/money-a-banking/198/1172036/	Business Recorder	b	dhpby_46Ae5iB8ME-y0QZ8gSCJwLM	www.brecorder.com	1397289057665
101309	US dollar remains stable amidst prevailing interest rates	http://www.themalaymailonline.com/money/article/us-dollar-remains-stable-amidst-prevailing-interest-rates	The Malay Mail Online	b	dhpby_46Ae5iB8ME-y0QZ8gSCJwLM	www.themalaymailonline.com	1397289057872
101310	Dollar steadies ahead of Yellen appearance	http://www.thebull.com.au/articles/a/45370-dollar-steadies-ahead-of-yellen-appearance.html	TheBull.com.au	b	dhpby_46Ae5iB8ME-y0QZ8gSCJwLM	www.thebull.com.au	1397289058081
101311	DIARY - Top Economic Events to April 25	http://uk.reuters.com/article/2014/04/12/diary-top-econ-idUKL3N0N33Z320140412	Reuters UK	b	dhpby_46Ae5iB8ME-y0QZ8gSCJwLM	uk.reuters.com	1397289058280
