394501	Amazon's Fire Phone costs $205 to build	http://www.zdnet.com/amazons-fire-phone-costs-205-to-build-7000032044/	ZDNet	t	dD-ytVg1KNqiZ2MZFCddRJFh9xsPM	www.zdnet.com	1406642411015
394502	The Fire Phone's So Pricey Because It Costs Amazon a Ton to Build	http://www.gizmodo.in/Software/The-Fire-Phones-So-Pricey-Because-It-Costs-Amazon-a-Ton-to-Build/articleshow/39182592.cms	Gizmodo India	t	dD-ytVg1KNqiZ2MZFCddRJFh9xsPM	www.gizmodo.in	1406642411229
394503	Qualcomm scores design wins in Amazon Fire	http://www.eetindia.co.in/ART_8800701915_1800007_NT_5a1de341.HTM	EE Times India	t	dD-ytVg1KNqiZ2MZFCddRJFh9xsPM	www.eetindia.co.in	1406642411584
394504	Amazon Fire Phone Review Roll-Up – Device is Satisfactory, But Probably Not a  ...	http://www.modernreaders.com/amazon-fire-phone-review-roll-up-device-is-satisfactory-but-probably-not-a-world-beater/8690/lorenzo-tanos	Modern Readers	t	dD-ytVg1KNqiZ2MZFCddRJFh9xsPM	www.modernreaders.com	1406642411940
394505	Snooze alarms with single gestures, now on Amazon Fire Phone	http://www.technologytell.com/gadgets/148771/snooze-alarms-single-gestures-now-amazon-fire-phone/	TechnologyTell	t	dD-ytVg1KNqiZ2MZFCddRJFh9xsPM	www.technologytell.com	1406642412201
394506	Amazon Fire Phone Costs $205 To Build, Teardown Shows	http://recode.net/2014/07/28/amazon-fire-phone-costs-205-to-build-teardown-shows/	Re\/code	t	dD-ytVg1KNqiZ2MZFCddRJFh9xsPM	recode.net	1406642412499
394507	Amazon release Fire phone in US	http://theeword.co.uk/seo-manchester/amazon_fire_phone_released_in_us.html	theEword	t	dD-ytVg1KNqiZ2MZFCddRJFh9xsPM	theeword.co.uk	1406642412868
394508	Amazon has all guns blazing for the Fire	http://www.mobilenewscwp.co.uk/2014/07/28/amazon-has-all-guns-blazing-for-the-fire/	Mobile News	t	dD-ytVg1KNqiZ2MZFCddRJFh9xsPM	www.mobilenewscwp.co.uk	1406642413131
394509	The Good, The Bad, and The Ugly of The Amazon Fire Phone	http://www.wbal.com/article/108790/21/the-good-the-bad-and-the-ugly-of-the-amazon-fire-phone	WBAL Radio	t	dD-ytVg1KNqiZ2MZFCddRJFh9xsPM	www.wbal.com	1406642413375
394510	Amazon Fire Phone boosts app selection with MapQuest and Weatherbug	http://www.itproportal.com/2014/07/28/amazons-fire-phone-launch-premium-apps-mapquest-and-weatherbug/\?utm_medium=feed&amp;utm_campaign=Feed%3A+itproportal%2Frss+(Latest+ITProPortal+News)&amp;utm_source=feedburner	ITProPortal	t	dD-ytVg1KNqiZ2MZFCddRJFh9xsPM	www.itproportal.com	1406642413660
