60701	New Zealand Dollar Gains Late as Risk Appetite Improves	http://online.wsj.com/article/BT-CO-20140328-700179.html	Wall Street Journal	b	dEIyCRbEMAXMiNMV7JhWBb05S7FsM	online.wsj.com	1396068798584
60702	Forex - Japanese yen flat after lower CPI, better retail sales data	http://www.nasdaq.com/article/forex-japanese-yen-flat-after-lower-cpi-better-retail-sales-data-cm339655	NASDAQ	b	dEIyCRbEMAXMiNMV7JhWBb05S7FsM	www.nasdaq.com	1396068798769
60703	Exporters suffer as Kiwi dollar soars	http://www.newstalkzb.co.nz/auckland/news/nbbus/714441932-exporters-suffer-as-kiwi-dollar-soars	Newstalk ZB	b	dEIyCRbEMAXMiNMV7JhWBb05S7FsM	www.newstalkzb.co.nz	1396068798962
60704	Dollar soars against Greenback	http://www.radionz.co.nz/news/business/240092/dollar-soars-against-greenback	Radio New Zealand	b	dEIyCRbEMAXMiNMV7JhWBb05S7FsM	www.radionz.co.nz	1396068799172
60705	Dollar falls versus yen	http://www.brecorder.com/money-a-banking/198/1166855/	Business Recorder	b	dEIyCRbEMAXMiNMV7JhWBb05S7FsM	www.brecorder.com	1396068799376
60706	Forex - Japanese yen slightly weaker ahead of retail sales, CPI	http://www.nasdaq.com/article/forex-japanese-yen-slightly-weaker-ahead-of-retail-sales-cpi-cm339647	NASDAQ	b	dEIyCRbEMAXMiNMV7JhWBb05S7FsM	www.nasdaq.com	1396068799737
60707	Curency Rates Outlook For Pound Sterling To Dollar, Euro & New Zealand Dollar	http://www.exchangerates.org.uk/news/8862/curency-rates-outlook-pound-sterling-to-dollar-euro-new-zealand-dollar.html	Exchange Rates UK	b	dEIyCRbEMAXMiNMV7JhWBb05S7FsM	www.exchangerates.org.uk	1396068799969
60708	Exchange Rates Today: Pound to Euro & Pound to Dollar Rally Following Gains  ...	http://www.exchangerates.org.uk/news/8848/exchange-rates-today-pound-to-euro-pound-to-dollar-gains-house-prices.html	Exchange Rates UK	b	dEIyCRbEMAXMiNMV7JhWBb05S7FsM	www.exchangerates.org.uk	1396068800593
60709	Best New Zealand Dollar To Pound Exchange Rate In 6 Months Today  ...	http://www.exchangerates.org.uk/news/8859/best-new-zealand-dollar-to-pound-exchange-rate-6-months-todaydata.html	Exchange Rates UK	b	dEIyCRbEMAXMiNMV7JhWBb05S7FsM	www.exchangerates.org.uk	1396068800789
60710	Dollar gains on US growth rates, solid jobless claims figures	http://www.moneycontrol.com/news/rupee/dollar-gainsus-growth-rates-solid-jobless-claims-figures_1059609.html	Moneycontrol.com	b	dEIyCRbEMAXMiNMV7JhWBb05S7FsM	www.moneycontrol.com	1396068800963
60711	Dollar gains on data, NZ dollar hits over 2-1/2-year high	http://uk.reuters.com/article/2014/03/27/uk-markets-forex-idUKBREA2205O20140327\?type=GCA-ForeignExchange	Reuters UK	b	dEIyCRbEMAXMiNMV7JhWBb05S7FsM	uk.reuters.com	1396068801175
60712	Session Recap: Never enough for hungry investors; EUR/USD below 1.3750	http://www.fxstreet.com/news/forex-news/article.aspx\?storyid=6413ceeb-a230-4b97-84fb-44a2444624a9	FXstreet.com	b	dEIyCRbEMAXMiNMV7JhWBb05S7FsM	www.fxstreet.com	1396068801377
60713	NZ Dollar touches 21/2 – Year High as Trade Surplus Rises, Euro Extends  ...	http://www.forexminute.com/forex-tips/nz-dollar-touches-212-year-high-as-trade-surplus-rises-euro-extends-declines-26394	ForexMinute.com	b	dEIyCRbEMAXMiNMV7JhWBb05S7FsM	www.forexminute.com	1396068801679
60714	Deutsche Bank says EUR/USD slide could continue	http://www.forexlive.com/blog/2014/03/27/deutsche-bank-says-eurusd-slide-could-continue/	ForexLive \(blog\)	b	dEIyCRbEMAXMiNMV7JhWBb05S7FsM	www.forexlive.com	1396068801872
60715	EUR/USD slides on upbeat U.S. growth and jobs data	http://www.nasdaq.com/article/eurusd-slides-on-upbeat-us-growth-and-jobs-data-cm339570	NASDAQ	b	dEIyCRbEMAXMiNMV7JhWBb05S7FsM	www.nasdaq.com	1396068802199
60716	FOREX-Dollar gains on data, NZ dollar hits over 2-1/2-year high	http://in.reuters.com/article/2014/03/27/markets-forex-idINL1N0MO1D720140327	Reuters	b	dEIyCRbEMAXMiNMV7JhWBb05S7FsM	in.reuters.com	1396068802464
60717	FXBeat US wrap: Euro ratchets lower	http://www.fxstreet.com/news/fxbeat/article.aspx\?storyid=1989f82f-d2c1-42e8-9187-8403aafdfda7	FXstreet.com	b	dEIyCRbEMAXMiNMV7JhWBb05S7FsM	www.fxstreet.com	1396068802894
60718	EUR/USD keeps the red near 1.3740	http://www.fxstreet.com/news/forex-news/article.aspx\?storyid=a7be522f-2823-44a3-bafd-5a44a1e30d4a	FXstreet.com	b	dEIyCRbEMAXMiNMV7JhWBb05S7FsM	www.fxstreet.com	1396068803104
