198901	Capsule Movie Reviews (May 7): 'Chef' and five more	http://insidemovies.ew.com/2014/05/07/capsule-movie-reviews-may-7-chef-and-five-more/	Entertainment Weekly	e	dcFdu-fFpfVeSEMVjKydbRGNTFlsM	insidemovies.ew.com	1399637969784
198902	Chef: Jon Favreau on Film Critics and Cuban Sandwiches	http://www.craveonline.com/film/interviews/685977-chef-jon-favreau-on-film-critics-and-cuban-sandwiches	Crave Online	e	dcFdu-fFpfVeSEMVjKydbRGNTFlsM	www.craveonline.com	1399637969985
198903	Lou Lumenick	http://nypost.com/2014/05/07/jon-favreau-serves-up-an-appetizing-treat-in-chef/	New York Post	e	dcFdu-fFpfVeSEMVjKydbRGNTFlsM	nypost.com	1399637970251
198904	With Chef, Jon Favreau Whips Up Indie Comfort Food	http://www.houstonpress.com/2014-05-08/film/chef-review/	Houston Press	e	dcFdu-fFpfVeSEMVjKydbRGNTFlsM	www.houstonpress.com	1399637970590
198905	Fact-checking Jon Favreau's 'Chef'; baristas at risk of repetitive stress disorder  ...	http://www.oregonlive.com/dining/index.ssf/2014/05/fact-checking_jon_favreaus_che.html	The Oregonian	e	dcFdu-fFpfVeSEMVjKydbRGNTFlsM	www.oregonlive.com	1399637970831
198906	Jon Favreau at the Writer's Guild on Sunday. Photo by Jay	http://www.huffingtonpost.com/jay-weston/jon-favreaus-chef-is-the-_b_5270019.html	Huffington Post	e	dcFdu-fFpfVeSEMVjKydbRGNTFlsM	www.huffingtonpost.com	1399637971058
198907	Jon Favreau's light comedy Chef serves up flavoursome feel-good moments	http://www.dailytelegraph.com.au/entertainment/movies/jon-favreaus-light-comedy-chef-serves-up-flavoursome-feelgood-moments/story-fni0bv7m-1226909388372	The Daily Telegraph	e	dcFdu-fFpfVeSEMVjKydbRGNTFlsM	www.dailytelegraph.com.au	1399637971442
198908	Big name cast creates tasty morsel	http://www.news.com.au/entertainment/movies/jon-favreaus-light-comedy-chef-serves-up-flavoursome-feelgood-moments/story-fn93z3ob-1226909388372	NEWS.com.au	e	dcFdu-fFpfVeSEMVjKydbRGNTFlsM	www.news.com.au	1399637971694
198909	Film Review: Favreau's charming 'Chef' stirs appetite	http://www.crescent-news.com/reviews/2014/05/07/film-review-favreau-s-charming-chef-stirs-appetite	Defiance Crescent News \(subscription\)	e	dcFdu-fFpfVeSEMVjKydbRGNTFlsM	www.crescent-news.com	1399637971905
198910	Favreau gets his indie mojo back with a little help from Austin	http://www.statesman.com/news/entertainment/movies/favreau-gets-his-indie-mojo-back-with-a-little-hel/nfqJd/	Austin American-Statesman	e	dcFdu-fFpfVeSEMVjKydbRGNTFlsM	www.statesman.com	1399637972175
198911	Film Review: Jon Favreau's 'Chef' a charming film that stirs appetite	http://www.ottawacitizen.com/entertainment/Film+Review+Favreaus+Chef+charming+film+that+stirs/9811726/story.html	Ottawa Citizen	e	dcFdu-fFpfVeSEMVjKydbRGNTFlsM	www.ottawacitizen.com	1399637972517
198912	Foodie movies: From Ratatouille to Chef	http://metronews.ca/voices/in-focus/1024897/foodie-movies-from-ratatouille-to-chef/	MetroNews Canada	e	dcFdu-fFpfVeSEMVjKydbRGNTFlsM	metronews.ca	1399637972893
198913	Review: Chef (Better Bonding Through Cuisinart)	http://www.movieswithbutter.com/blogs/review-chef-better-bonding-through-cuisinart-767094	Movies With Butter \(blog\)	e	dcFdu-fFpfVeSEMVjKydbRGNTFlsM	www.movieswithbutter.com	1399637973237
198914	Interview: Jon Favreau talks 'Chef,' food culture, and Marvel Cinematic Universe	http://www.examiner.com/article/interview-jon-favreau-talks-chef-food-culture-and-marvel-cinematic-universe	Examiner.com	e	dcFdu-fFpfVeSEMVjKydbRGNTFlsM	www.examiner.com	1399637973539
198915	Favreau's charming 'Chef' stirs appetite	http://www.houmatoday.com/article/20140506/WIRE/140509684/1026/news01\?Title=Favreau-s-charming-Chef-stirs-appetite	Houma Courier	e	dcFdu-fFpfVeSEMVjKydbRGNTFlsM	www.houmatoday.com	1399637973806
198916	The CS Interview with Jon Favreau on His New Movie, Chef	http://www.comingsoon.net/news/movienews.php\?id=117708	ComingSoon.net	e	dcFdu-fFpfVeSEMVjKydbRGNTFlsM	www.comingsoon.net	1399637974042
198917	NYC: Jon Favreau's 'Chef' Advanced Screening Passes	http://doslives.com/2014/05/nyc-jon-favreaus-chef-advanced-screening-passes/	Dos Lives	e	dcFdu-fFpfVeSEMVjKydbRGNTFlsM	doslives.com	1399637974404
198918	'Tony the Tiger' voice actor dies at 64	http://www.theglobeandmail.com/news/world/tony-the-tiger-voice-actor-dies-at-64/article18579945/	The Globe and Mail	e	doxRbHrKfXZYXgMh0UnxrO-OfcqSM	www.theglobeandmail.com	1399638171628
198919	Tony the Tiger voice Lee Marshall dies at 64	http://www.smdailyjournal.com/articles/arts/2014-05-09/tony-the-tiger-voice-lee-marshall-dies-at-64/1776425122900.html	San Mateo Daily Journal	e	doxRbHrKfXZYXgMh0UnxrO-OfcqSM	www.smdailyjournal.com	1399638171816
198920	Tony the Tiger voice Marshall dies at 64	http://www.recordernews.com/premium/a1043-BC-US-Obit-LeeMarshall-1stLd-Writethru-05-08-0490	The Recorder \(subscription\)	e	doxRbHrKfXZYXgMh0UnxrO-OfcqSM	www.recordernews.com	1399638172176
198921	Lee Marshall, the voice of Tony the Tiger, dead: Kellogg's actor dies from  ...	http://www.independent.co.uk/news/people/lee-marshall-the-voice-of-tony-the-tiger-dead-kelloggs-actor-dies-from-esophageal-cancer-9344543.html	The Independent	e	doxRbHrKfXZYXgMh0UnxrO-OfcqSM	www.independent.co.uk	1399638172418
198922	'Tony The Tiger' Iconic Voice Actor Lee Marshall Dies	http://www.contactmusic.com/article/lee-marshall-tony-tiger-voice-actor-dead_4186785	Contactmusic.com	e	doxRbHrKfXZYXgMh0UnxrO-OfcqSM	www.contactmusic.com	1399638172635
198923	Lee Marshall, voice of Tony the Tiger, dies at 64	http://news-briefs.ew.com/2014/05/09/tony-the-tiger-voice-dies/	Entertainment Weekly \(blog\)	e	doxRbHrKfXZYXgMh0UnxrO-OfcqSM	news-briefs.ew.com	1399638172933
198924	Lee Marshall Dies; Voice of Tony the Tiger Was 64	http://www.thehollywoodgossip.com/2014/05/lee-marshall-dies-voice-of-tony-the-tiger-was-64/	The Hollywood Gossip	e	doxRbHrKfXZYXgMh0UnxrO-OfcqSM	www.thehollywoodgossip.com	1399638173166
198925	Lee Marshall, the voice of Tony the Tiger, dies at 64	http://www.dispatch.com/content/stories/national_world/2014/05/09/lee-marshall-the-voice-of-tony-the-tiger-dies-at-64.html	Columbus Dispatch	e	doxRbHrKfXZYXgMh0UnxrO-OfcqSM	www.dispatch.com	1399638173437
198926	Lee Marshall, Voice Of Frosties' Tony The Tiger, Dies Age 64 Advert voiceover  ...	http://www.entertainmentwise.com/news/148698/Lee-Marshall-Voice-Of-Frosties-Tony-The-Tiger-Dies-Age-64	Entertainmentwise	e	doxRbHrKfXZYXgMh0UnxrO-OfcqSM	www.entertainmentwise.com	1399638173988
198927	Tony the Tiger voice actor dies aged 64	http://www.nydailynews.com/news/national/tony-tiger-voice-actor-dies-aged-64-article-1.1785610	New York Daily News	e	doxRbHrKfXZYXgMh0UnxrO-OfcqSM	www.nydailynews.com	1399638174173
198928	The grrreat voice of Tony the Tiger has died	http://www.express.co.uk/news/showbiz/474895/The-g-r-r-r-e-a-t-voice-of-Tony-the-Tiger-has-died	Express.co.uk	e	doxRbHrKfXZYXgMh0UnxrO-OfcqSM	www.express.co.uk	1399638174474
