296201	LA mayor drops f-bomb at Kings victory celebration	http://www.usatoday.com/story/news/nation-now/2014/06/17/garcetti-fbomb-kings-win/10656971/	USA TODAY	e	dkhwTRCZ_cP_XWMBqiS5BbsbKnuiM	www.usatoday.com	1403019104435
296202	LA mayor drops the F-bomb at televised hockey celebration	http://www.al.com/news/mobile/index.ssf/2014/06/la_mayor_drops_the_f-bomb_at_t.html	al.com	e	dkhwTRCZ_cP_XWMBqiS5BbsbKnuiM	www.al.com	1403019104637
296203	LA mayor: Hockey victory 'big F---ing day' for LA	http://www.santacruzsentinel.com/ci_25977154	Santa Cruz Sentinel	e	dkhwTRCZ_cP_XWMBqiS5BbsbKnuiM	www.santacruzsentinel.com	1403019105140
296204	VIDEO: NY Mayor Bill de Blasio Sings 'I Love LA' on KIMMEL After Losing  ...	http://www.broadwayworld.com/bwwcomedy/article/VIDEO-NY-Mayor-Bill-de-Blasio-Sings-I-Love-LA-on-KIMMEL-After-Losing-Stanley-Cup-Bet-20140617	Broadway World	e	dkhwTRCZ_cP_XWMBqiS5BbsbKnuiM	www.broadwayworld.com	1403019105436
296205	Mayor Bill de Blasio sings 'I Love L.A.' on Jimmy Kimmel Live over Stanley Cup  ...	http://bronx.news12.com/news/mayor-bill-de-blasio-sings-i-love-l-a-on-jimmy-kimmel-live-over-stanley-cup-wager-1.8473555	News 12 Bronx \(registration\)	e	dkhwTRCZ_cP_XWMBqiS5BbsbKnuiM	bronx.news12.com	1403019105629
296206	Ouch! De Blasio sings “I Love LA” after Rangers loss	http://polhudson.lohudblogs.com/2014/06/17/ouch-de-blasio-sings-love-l-rangers-loss/	Politics on the Hudson \(blog\)	e	dkhwTRCZ_cP_XWMBqiS5BbsbKnuiM	polhudson.lohudblogs.com	1403019105950
296207	Mayor drops F-bomb in declaring big day for LA	http://www.kgw.com/sports/263393721.html	kgw.com	e	dkhwTRCZ_cP_XWMBqiS5BbsbKnuiM	www.kgw.com	1403019106275
296208	New York Mayor Sings 'I Love LA'	http://www.theepochtimes.com/n3/741210-new-york-mayor-de-blasio-sings-i-love-la/	The Epoch Times	e	dkhwTRCZ_cP_XWMBqiS5BbsbKnuiM	www.theepochtimes.com	1403019106535
296209	Mayor Eric Garcetti drops F-bomb in declaring big day for Los Angeles	http://www.news-sentinel.com/apps/pbcs.dll/article\?AID=/20140617/NEWS/140619691	News Sentinel	e	dkhwTRCZ_cP_XWMBqiS5BbsbKnuiM	www.news-sentinel.com	1403019106753
296210	NYC Mayor sings 'I Love LA' after losing a bet over the Stanley Cup Finals	http://popwatch.ew.com/2014/06/17/bill-de-blasio-i-love-la-jimmy-kimmel/	Entertainment Weekly	e	dkhwTRCZ_cP_XWMBqiS5BbsbKnuiM	popwatch.ew.com	1403019107043
296211	NYC mayor sings 'I love LA' on 'Jimmy Kimmel Live' to fulfill Stanley Cup bet  ...	http://www.syracuse.com/news/index.ssf/2014/06/nyc_mayor_sings_i_love_la_on_jimmy_kimmel_live_to_fulfill_stanley_cup_bet_video.html	The Post-Standard	e	dkhwTRCZ_cP_XWMBqiS5BbsbKnuiM	www.syracuse.com	1403019107314
